"","season_3","site_number","year","Site_code","catchment","discharge","mean_sediment","mean_temperature","ntaxa","Arthropoda_Insecta_Ephemeroptera_Prosopistomatidae_Prosopistoma_pennigerum"
"1","f18",10,2018,"SSB_10",139.5,1.607563734,12.563,21.1633696975,566,0
"2","f18",11,2018,"Vjo_11",4985.5,25.11048317,13,16.733556845,1627,14
"3","f18",12,2018,"Vjo_12",5179.4,25.86104774,13.85,16.828481935,4546,10
"4","f18",2,2018,"Vjo_2",5791.1,28.22513008,13,18.30588411,1627,38
"5","f18",22,2018,"Dis_22",172.7,1.883734822,13,20.7937757075,1642,2
"6","f18",23,2018,"Vjo_23",3008.5,17.03805542,19.05,17.18709288,2321,58
"7","f18",24,2018,"Vjo_24",3430.9,18.84581566,13,15.9446116225,6818,5
"8","f18",25,2018,"Dri_25",1301.2,8.950720787,11.165,18.2319281775,7891,5
"9","f18",26,2018,"Lan_26",333.5,3.1456213,16.4,22.5350105575,778,0
"10","f18",27,2018,"Vjo_27",2360,14.14618969,21.5,15.7989409475,3960,34
"11","f18",28,2018,"Vjo_28",2719.2,15.76135349,40,16.2,794,2
"12","f18",29,2018,"Vjo_29",4762.6,24.2476387,13,16.25179619,1281,5
"13","f18",30,2018,"Sar_30",902.9,6.759493351,13,13.260544625,2681,0
"14","f18",31,2018,"Aoo_31",1106.6,7.906199455,13,13.18613144,6452,0
"15","f18",32,2018,"Vjo_32",2099.3,12.92404079,13,12,9442,0
"16","f18",37,2018,"Sar_37",634.9,5.152348995,13,16.8923215875,104,0
"17","f18",38,2018,"Sar_38",100.7,1.268566608,21.5,16.3106926575,724,0
"18","f18",4,2018,"Vjo_4",6495.8,30.94022179,13,19.5,2420,82
"19","f18",40,2018,"Voi_40",345,3.232510805,15.805,9.3587377985,14795,0
"20","f18",43,2018,"Aoo_43",627.6,5.108981133,13,17.5163220425,1839,0
"21","f18",44,2018,"Aoo_44",43.2,0.664570749,13.305,9.93973938,4753,0
"22","f18",45,2018,"Aoo_45",29,0.471488565,13.71764706,9.892246275,4714,0
"23","f18",46,2018,"Aoo_46",72.3,0.972547889,18.25,9.86666666666667,7051,0
"24","f18",5,2018,"Vjo_5",5521.9,27.16744423,13,17.0634522575,3029,58
"25","f18",52,2018,"Shu_52",84.5,1.096921086,24.905,19.342147135,1510,0
"26","f18",53,2018,"Shu_53",224.4,2.322293758,16.275,19.3836095475,1030,0
"27","f18",55,2018,"Dri_55",1026.3,7.438412189,10.6,18.7666666666667,3774,0
"28","f18",56,2018,"Dri_56",181.1,1.979049444,13,14.160727975,10585,0
"29","f18",57,2018,"Dri_57",1216.9,8.504667282,11.65,16.1,7843,5
"30","f18",6,2018,"Vjo_6",5432,26.82381248,13,16.4342996175,3461,77
"31","f18",63,2018,"Lan_63",83.9,1.094893336,15.965,14.706920915,108,0
"32","f18",64,2018,"Lan_64",176,1.924658895,15.11,14.1457150625,106,0
"33","f18",65,2018,"Ben_65",114,1.374912858,18.95,12.0981330675,10622,0
"34","f18",67,2018,"Sar_67",103.2,1.27787137,17.22727273,16.1278842825,221,0
"35","f18",68,2018,"Sar_68",470.7,4.09793663,13.46,15.9326331175,197,0
"36","f18",69,2018,"Ben_69",176.3,1.91640687,11.13,16.1514063625,4547,0
"37","f18",7,2018,"Vjo_7",5345.8,26.46532631,12.405,16.74144889,2588,0
"38","f18",70,2018,"Sar_70",149.9,1.700563192,13,10.08297228,1495,0
"39","f18",71,2018,"Sar_71",105.7,1.300978184,16.4,11.6081692425,2718,0
"40","f18",72,2018,"Sar_72",257.6,2.579936981,18.66666667,11.3333333333333,421,0
"41","f18",79,2018,"Voi_79",386.3,3.511431217,11.2,11.8492092225,18486,0
"42","f19",10,2019,"SSB_10",139.5,1.234130621,10.426,20.21608753,165,0
"43","f19",11,2019,"Vjo_11",4985.5,19.13345909,13,19.32930205,1483,14
"44","f19",12,2019,"Vjo_12",5179.4,19.70378494,13,20.010639275,6730,178
"45","f19",2,2019,"Vjo_2",5791.1,21.49987411,13,21.786802985,418,10
"46","f19",22,2019,"Dis_22",172.7,1.445522904,13.2065,19.3150302625,2088,0
"47","f19",23,2019,"Vjo_23",3008.5,12.99623871,18.1,16.9,3946,230
"48","f19",24,2019,"Vjo_24",3430.9,14.37120438,16.4,16.3557217275,7733,125
"49","f19",25,2019,"Dri_25",1301.2,6.839397907,14.7,17.607149265,1565,0
"50","f19",26,2019,"Lan_26",333.5,2.410485506,18.1,21.95952994,471,4
"51","f19",27,2019,"Vjo_27",2360,10.79586315,18.6,15.58844437,4349,250
"52","f19",28,2019,"Vjo_28",2719.2,12.02495289,32,15.2666666666667,2338,48
"53","f19",29,2019,"Vjo_29",4762.6,18.4777565,13,16.8646754175,2635,3
"54","f19",30,2019,"Sar_30",902.9,5.168999195,13,19.0179581875,1085,0
"55","f19",31,2019,"Aoo_31",1106.6,6.043305397,20.1,14.9659740375,6494,0
"56","f19",32,2019,"Vjo_32",2099.3,9.865592957,13,16.5113347975,3000,0
"57","f19",37,2019,"Sar_37",634.9,3.942929983,13,17.1642741375,317,0
"58","f19",38,2019,"Sar_38",100.7,0.974510729,24.55,16.470768675,1752,0
"59","f19",4,2019,"Vjo_4",6495.8,23.56213379,13,21.7333333333333,1930,43
"60","f19",40,2019,"Voi_40",345,2.476884604,24.9,10.3973333475,19046,0
"61","f19",43,2019,"Aoo_43",627.6,3.909832001,13,15.7203093125,4325,0
"62","f19",44,2019,"Aoo_44",43.2,0.511422813,12.626,12.4013171375,1502,0
"63","f19",45,2019,"Aoo_45",29,0.363175422,10.88235294,12.82850321,2587,0
"64","f19",46,2019,"Aoo_46",72.3,0.7476511,16.4,12.4666666666667,2976,0
"65","f19",5,2019,"Vjo_5",5521.9,20.69635963,13,17.9668194225,3000,24
"66","f19",52,2019,"Shu_52",84.5,0.842987001,25.5,15.9470030625,1435,0
"67","f19",53,2019,"Shu_53",224.4,1.781043649,19.6,18.199299015,1752,0
"68","f19",55,2019,"Dri_55",1026.3,5.686685562,13,18.8884344775,1123,0
"69","f19",56,2019,"Dri_56",181.1,1.518460155,13,17.98863572,898,0
"70","f19",57,2019,"Dri_57",1216.9,6.499466419,13.22944444,17.1333333333333,2846,0
"71","f19",6,2019,"Vjo_6",5432,20.43528748,13,18.4600403625,4186,302
"72","f19",63,2019,"Lan_63",83.9,0.841432869,7.415,18.872310075,121,0
"73","f19",64,2019,"Lan_64",176,1.476840258,9.43,17.8883253625,287,0
"74","f19",65,2019,"Ben_65",114,1.055974007,17.555,13.2971167375,1013,0
"75","f19",67,2019,"Sar_67",103.2,0.981639147,17.155,16.896960445,431,0
"76","f19",68,2019,"Sar_68",470.7,3.137979746,13,17.1991929125,619,0
"77","f19",69,2019,"Ben_69",176.3,1.470525503,11.2,15.2878418975,427,0
"78","f19",7,2019,"Vjo_7",5345.8,20.16292,13,19.0300712175,1531,29
"79","f19",70,2019,"Sar_70",149.9,1.305326343,16.9,12.7659138075,1061,0
"80","f19",71,2019,"Sar_71",105.7,0.999340534,13.2065,14.3169759075,1387,0
"81","f19",72,2019,"Sar_72",257.6,1.978071094,21.66666667,13.2333333333333,1752,0
"82","f19",79,2019,"Voi_79",386.3,2.689997911,13,11.3354330775,31522,0
"83","s18",10,2018,"SSB_10",139.5,3.511294842,16.665,24.2360319125,14,0
"84","s18",11,2018,"Vjo_11",4985.5,60.33817673,20.45,16.393656765,744,1
"85","s18",12,2018,"Vjo_12",5179.4,62.2052803,17.25,17.7,203,1
"86","s18",2,2018,"Vjo_2",5791.1,68.09823608,14.25,17.6327574125,1235,0
"87","s18",22,2018,"Dis_22",172.7,4.137223721,19.3,21.4605605025,338,0
"88","s18",23,2018,"Vjo_23",3008.5,40.39336777,20.35,15.3922993575,970,2
"89","s18",24,2018,"Vjo_24",3430.9,44.8358345,18.1,14.6633731575,947,2
"90","s18",25,2018,"Dri_25",1301.2,20.75119972,10.2315,17.2334972525,26,0
"91","s18",26,2018,"Lan_26",333.5,7.032764912,15.31,22.56027134,60,0
"92","s18",27,2018,"Vjo_27",2360,33.32155609,20.25,15.04924688,938,3
"93","s18",28,2018,"Vjo_28",2719.2,37.26569748,30.1065,12.8,625,1
"94","s18",29,2018,"Vjo_29",4762.6,58.19416046,13.605,15.970759755,964,0
"95","s18",30,2018,"Sar_30",902.9,15.51908684,16.8,17.6466564075,622,0
"96","s18",31,2018,"Aoo_31",1106.6,18.25081253,16.5,13.9461259575,2062,0
"97","s18",32,2018,"Vjo_32",2099.3,30.34742546,18.355,12.3666666666667,397,0
"98","s18",37,2018,"Sar_37",634.9,11.71828747,13.5565,15.97437659,260,0
"99","s18",38,2018,"Sar_38",100.7,2.748158932,19.0825,10.768272115,285,0
"100","s18",4,2018,"Vjo_4",6495.8,74.8872757,9.6525,16.9666666666667,408,1
"101","s18",40,2018,"Voi_40",345,7.233865261,14.3115,9.4404435885,496,0
"102","s18",43,2018,"Aoo_43",627.6,11.61624527,14.4065,13.3403903733333,666,0
"103","s18",44,2018,"Aoo_44",43.2,1.407741666,21.11,6.1703422145,334,0
"104","s18",45,2018,"Aoo_45",29,0.986911118,14.678,8.03611537925,785,0
"105","s18",46,2018,"Aoo_46",72.3,2.087533474,17.655,6.5,195,0
"106","s18",5,2018,"Vjo_5",5521.9,65.45953369,15.1,15.25,1360,1
"107","s18",52,2018,"Shu_52",84.5,2.364352226,15.268,17.9666666666667,4,0
"108","s18",53,2018,"Shu_53",224.4,5.137618542,12.978,20.0333333333333,76,0
"109","s18",55,2018,"Dri_55",1026.3,17.13464737,18.95,16.6996175875,601,0
"110","s18",56,2018,"Dri_56",181.1,4.354016304,10.5215,15.7901952025,135,0
"111","s18",57,2018,"Dri_57",1216.9,19.68211937,12.5615,15.9,269,0
"112","s18",6,2018,"Vjo_6",5432,64.60300446,13,16.9333333333333,2337,1
"113","s18",63,2018,"Lan_63",83.9,2.359829664,20.75,19.317308485,4,0
"114","s18",64,2018,"Lan_64",176,4.230259895,25.7,17.3333333333333,12,0
"115","s18",65,2018,"Ben_65",114,2.98687768,19.723,13.894191755,7695,0
"116","s18",67,2018,"Sar_67",103.2,2.76901865,23.85,12.19887096,576,0
"117","s18",68,2018,"Sar_68",470.7,9.246388435,20.06,12.9282929625,57,0
"118","s18",69,2018,"Ben_69",176.3,4.211494446,13.218,14.665600035,6725,0
"119","s18",7,2018,"Vjo_7",5345.8,63.70985413,13.255,17.2496321625,1220,1
"120","s18",70,2018,"Sar_70",149.9,3.721686363,18.06,9.15198739375,239,0
"121","s18",71,2018,"Sar_71",105.7,2.82084322,16.00526316,12.36061802,759,0
"122","s18",72,2018,"Sar_72",257.6,5.728487015,23.555,11.8,249,0
"123","s18",79,2018,"Voi_79",386.3,7.880656242,9.463,10.66877741,499,0
